"Course,Hole,Hole order,Par,Stroke Index,Front_Lat,Front_Lng,Center_Lat,Center_Lng,Back_Lat,Back_Lng"
"Old,1,1,5,9,-27.409265,152.948628,-27.409223,152.948465,-27.409194,152.948293"
"Old,2,2,4,10,-27.407736,152.944281,-27.407634,152.944167,-27.407541,152.944049"
"Old,3,3,4,13,-27.405839,152.941966,-27.40571,152.941892,-27.405623,152.941759"
"Old,4,4,3,14,-27.404907,152.940436,-27.404826,152.940304,-27.404774,152.940196"
"Old,5,5,5,15,-27.406811,152.943344,-27.406926,152.943427,-27.407044,152.943505"
"Old,6,6,3,18,-27.406181,152.943819,-27.40605,152.943758,-27.40596,152.943664"
"Old,7,7,4,8,-27.406822,152.947334,-27.406842,152.947469,-27.406853,152.947588"
"Old,8,8,3,17,-27.408523,152.947887,-27.4086,152.947994,-27.408668,152.948095"
"Old,9,9,5,7,-27.411543,152.951608,-27.411494,152.951746,-27.411492,152.951872"
"Old,10,10,4,4,-27.409047,152.949455,-27.40899,152.949281,-27.408945,152.94911"
"Old,11,11,5,16,-27.405094,152.950334,-27.404978,152.950434,-27.40488,152.950519"
"Old,12,12,3,6,-27.406917,152.950713,-27.40702,152.950631,-27.407121,152.950542"
"Old,13,13,5,12,-27.403335,152.952795,-27.403197,152.952839,-27.403061,152.952876"
"Old,14,14,4,11,-27.404148,152.950568,-27.404265,152.950498,-27.404384,152.950384"
"Old,15,15,4,3,-27.402329,152.952889,-27.402325,152.953051,-27.402317,152.953228"
"Old,16,16,4,2,-27.405395,152.952365,-27.405493,152.952354,-27.405613,152.952323"
"Old,17,17,3,5,-27.407045,152.951942,-27.407159,152.951931,-27.407273,152.951927"
"Old,18,18,4,1,-27.41014,152.951888,-27.410252,152.951951,-27.410363,152.952017"
"North,1,10,4,2,-27.407972,152.952162,-27.407856,152.952223,-27.407743,152.952323"
"North,2,11,5,15,-27.404652,152.953927,-27.40456,152.954033,-27.404441,152.954165"
"North,3,12,3,11,-27.402678,152.954164,-27.402548,152.954108,-27.402462,152.954008"
"North,4,13,5,12,-27.402574,152.957116,-27.402575,152.957306,-27.402575,152.957493"
"North,5,14,4,13,-27.404148,152.950568,-27.404265,152.950498,-27.404384,152.950384"
"North,6,15,4,7,-27.402329,152.952889,-27.402325,152.953051,-27.402317,152.953228"
"North,7,16,4,3,-27.405395,152.952365,-27.405493,152.952354,-27.405613,152.952323"
"North,8,17,3,9,-27.407045,152.951942,-27.407159,152.951931,-27.407273,152.951927"
"North,9,18,4,1,-27.41014,152.951888,-27.410252,152.951951,-27.410363,152.952017"
"North,10,19,4,16,-27.407972,152.952162,-27.407856,152.952223,-27.407743,152.952323"
"North,11,20,4,5,-27.404652,152.953927,-27.40456,152.954033,-27.404441,152.954165"
"North,12,21,4,10,-27.402678,152.954164,-27.402548,152.954108,-27.402462,152.954008"
"North,13,22,4,6,-27.402574,152.957116,-27.402575,152.957306,-27.402575,152.957493"
"North,14,23,5,8,-27.405077,152.954482,-27.405169,152.954475,27.405256,152.954451"
"North,15,24,4,4,-27.40307,152.957237,-27.403066,152.957354,-27.40305,152.957481"
"North,16,25,3,17,-27.403841,152.956628,-27.403901,152.956475,-27.403937,152.956331"
"North,17,26,4,18,-27.406373,152.953699,-27.406447,152.953603,-27.40654,152.9535"
"North,18,27,3,14,-27.408505,152.952533,-27.408589,152.952474,-27.408706,152.952423"
"West,1,19,4,14,-27.407972,152.952162,-27.407856,152.952223,-27.407743,152.952323"
"West,2,20,4,1,-27.404652,152.953927,-27.40456,152.954033,-27.404441,152.954165"
"West,3,21,4,6,-27.402678,152.954164,-27.402548,152.954108,-27.402462,152.954008"
"West,4,22,4,2,-27.402574,152.957116,-27.402575,152.957306,-27.402575,152.957493"
"West,5,23,5,5,-27.405077,152.954482,-27.405169,152.954475,27.405256,152.954451"
"West,6,24,4,3,-27.40307,152.957237,-27.403066,152.957354,-27.40305,152.957481"
"West,7,25,3,16,-27.403841,152.956628,-27.403901,152.956475,-27.403937,152.956331"
"West,8,26,4,18,-27.406373,152.953699,-27.406447,152.953603,-27.40654,152.9535"
"West,9,27,3,13,-27.408505,152.952533,-27.408589,152.952474,-27.408706,152.952423"
"West,10,1,5,8,-27.409265,152.948628,-27.409223,152.948465,-27.409194,152.948293"
"West,11,2,4,10,-27.407736,152.944281,-27.407634,152.944167,-27.407541,152.944049"
"West,12,3,4,9,-27.405839,152.941966,-27.40571,152.941892,-27.405623,152.941759"
"West,13,4,3,12,-27.404907,152.940436,-27.404826,152.940304,-27.404774,152.940196"
"West,14,5,5,11,-27.406811,152.943344,-27.406926,152.943427,-27.407044,152.943505"
"West,15,6,3,17,-27.406181,152.943819,-27.40605,152.943758,-27.40596,152.943664"
"West,16,7,4,7,-27.406822,152.947334,-27.406842,152.947469,-27.406853,152.947588"
"West,17,8,3,15,-27.408523,152.947887,-27.4086,152.947994,-27.408668,152.948095"
"West,18,9,5,4,-27.411543,152.951608,-27.411494,152.951746,-27.411492,152.951872"
